messageid,offsetTime,logDateTime,time(millisecond),latitude,longitude,satnum,gpsHealth,altitude,baroAlt,height,accelX,accelY,accelZ,accel,gyroX,gyroY,gyroZ,gyro,errorX,errorY,errorZ,error,magX,magY,magZ,magMod,velN,velE,velD,vel,velH,quatW,quatX,quatY,quatZ,roll,pitch,yaw,yaw360,magYawX,thrustAngle,latitudeHP,longitudeHP,imuTemp,flyc_state,flycStateStr,nonGPSError,nonGPSErrStr,DWflyCState,connectedToRC,current,volt1,volt2,volt3,volt4,volt5,volt6,totalVolts,voltSpread,Watts,batteryTemp(C),ratedCapacity,remainingCapacity,percentageCapacity,batteryUsefulTime,voltagePercent,batteryCycleCount,batteryLifePercentage,batteryBarCode,minCurrent,maxCurrent,avgCurrent,minVolts,maxVolts,avgVolts,minWatts,maxWatts,avgWatts,Gimbal:roll,Gimbal:pitch,Gimbal:yaw,Gimbal:Xroll,Gimbal:Xpitch,Gimbal:Xyaw,rFront,lFront,lBack,rBack,rFrontSpeed,lFrontSpeed,lBackSpeed,rBackSpeed,rFrontLoad,lFrontLoad,lBackLoad,rBackLoad,aileron,elevator,throttle,rudder,modeSwitch,latitudeTablet,longitudeTablet,droneModel
970323,1617.205,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970324,1617.2066666666667,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754204794107507,-5.86113943293109,-90.95609921468572,-4.354450060078709,-3.141955397305026,-91.07557771882814,1204,3489,4269,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970326,1617.21,0,0,41.293906577064405,-72.96468721501586,9,4,-179.06760938415528,-180.39201161499025,0,-0.058207619935274124,0.07724405825138092,-0.9913389086723328,0.9960459845816978,0.007130405865609646,0.0006100934697315097,0.004476683214306831,0.008441302888262333,0.030021727085113525,0.03839528560638428,-0.03498191386461258,0.0599936359258216,200,498,1367,1468.5683504692588,-0.00850688200443983,0.007226176094263792,0.00717884162440896,0.013271037240966451,0.011161749969551,0.7004061341285706,-0.04614701867103577,0.007898367941379547,-0.7122073769569397,-4.352583058781419,-3.142902304211895,-91.0767649572816,268.9232350427184,-78.27321860688893,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754204794107507,-5.86113943293109,-90.95609921468572,-4.354450060078709,-3.141955397305026,-91.07557771882814,1204,3489,4269,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970329,1617.215,0,0,41.29390657697279,-72.96468721469147,9,4,-179.06760938415528,-180.3876187591553,0,-0.05569647625088692,0.07508369535207748,-0.9890914559364319,0.9934996562560753,0.0009719140361994505,0.006459052208811045,0.008218515664339066,0.010497998478514604,-0.01213914155960083,0.00835716724395752,-0.015070140361785889,0.021078665343693674,200,498,1367,1468.5683504692588,-0.008567577227950096,0.007267961278557777,0.0027346480637788773,0.011563085260268292,0.011235063003984636,0.7004038095474243,-0.046146925538778305,0.00789803359657526,-0.7122096419334412,-4.3525381157614484,-3.142935577969625,-91.07713479142329,268.9228652085767,-78.27327188747876,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754204794107507,-5.86113943293109,-90.95609921468572,-4.354450060078709,-3.141955397305026,-91.07557771882814,1204,3489,4269,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970332,1617.22,0,0,41.29390657687226,-72.96468721435619,9,4,-181.56343983764648,-180.39166118774415,0,-0.052095964550971985,0.0747547298669815,-0.9812386631965637,0.9854600820488676,0.0006546539952978492,0.008325454778969288,0.0061611514538526535,0.010377936036010853,-0.033680617809295654,-0.005630016326904297,0.08038503676652908,0.08733747898704934,196,502,1363,1465.670153888657,-0.008735980838537216,0.00723981112241745,0.005599413998425007,0.012652496331764998,0.011346022488060246,0.700402557849884,-0.046145617961883545,0.007910316810011864,-0.7122108936309814,-4.353432288594578,-3.1418497212259764,-91.077327024407,268.922672975593,-78.68397347655649,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754204794107507,-5.86113943293109,-90.95609921468572,-4.354450060078709,-3.141955397305026,-91.07557771882814,1204,3489,4269,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970335,1617.225,0,0,41.29390657676082,-72.96468721401743,9,4,-181.56343983764648,-180.39572864685059,0,-0.051452040672302246,0.07210692763328552,-0.9836915731430054,0.9876719255778291,-0.003771322313696146,0.004900550469756126,0.010018125176429749,0.011772896795225253,-0.03751868009567261,-0.00890737771987915,0.06062108278274536,0.07184642240027325,196,502,1363,1465.670153888657,-0.008923573419451714,0.007195274345576763,0.008847986347973347,0.014480642178245514,0.011463077051143827,0.7004026174545288,-0.046149831265211105,0.007925561629235744,-0.7122103571891785,-4.3550192574409206,-3.140969884209115,-91.07728621933025,268.92271378066977,-78.68272335754048,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.754204794107507,-5.86113943293109,-90.95609921468572,-4.354450060078709,-3.141955397305026,-91.07557771882814,1204,3489,4269,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970336,1617.2266666666667,0,0,41.29390657676082,-72.96468721401743,9,4,-181.56343983764648,-180.39572864685059,0,-0.051452040672302246,0.07210692763328552,-0.9836915731430054,0.9876719255778291,-0.003771322313696146,0.004900550469756126,0.010018125176429749,0.011772896795225253,-0.03751868009567261,-0.00890737771987915,0.06062108278274536,0.07184642240027325,196,502,1363,1465.670153888657,-0.008923573419451714,0.007195274345576763,0.008847986347973347,0.014480642178245514,0.011463077051143827,0.7004026174545288,-0.046149831265211105,0.007925561629235744,-0.7122103571891785,-4.3550192574409206,-3.140969884209115,-91.07728621933025,268.92271378066977,-78.68272335754048,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744558859452155,-5.867103895623804,-90.95782725254574,-4.3550192574409206,-3.140969884209115,-91.07728621933025,1204,3537,4284,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970338,1617.23,0,0,41.293906576644545,-72.96468721367337,9,4,-179.79024042663576,-180.39381381225587,0,-0.05068466067314148,0.07217283546924591,-0.988097608089447,0.9920255723111722,0.001316046342253685,0.0015821014530956745,0.00982303824275732,0.010036289319341066,-0.04247546195983887,-0.03734487295150757,0.0013368651270866394,0.0565737714213396,196,502,1363,1465.670153888657,-0.009135951288044453,0.007008550222963095,0.006880700588226318,0.013413777348313753,0.01151457260020176,0.7004060745239258,-0.04615943133831024,0.007934524677693844,-0.712206244468689,-4.356540149200561,-3.1410156340126862,-91.07671687662007,268.9232831233799,-78.68346671058943,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744558859452155,-5.867103895623804,-90.95782725254574,-4.3550192574409206,-3.140969884209115,-91.07728621933025,1204,3537,4284,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970341,1617.235,0,0,41.29390657652291,-72.964687213333,9,4,-179.79024042663576,-180.39187394714355,0,-0.0539972297847271,0.06986493617296219,-0.9897573590278625,0.9936883011692781,0.006229832302778959,0.0019934780430048704,0.011345338076353073,0.013095856646109011,-0.06290829181671143,-0.014978587627410889,-0.023688502609729767,0.06886912532114607,196,502,1363,1465.670153888657,-0.009450492449104786,0.006933656986802816,0.00468815490603447,0.01262403276153073,0.011721237423635188,0.700411319732666,-0.04616285115480423,0.007932116277515888,-0.7122008800506592,-4.35664130195643,-3.141457248460758,-91.07587503011464,268.9241249698854,-78.68447389695287,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744558859452155,-5.867103895623804,-90.95782725254574,-4.3550192574409206,-3.140969884209115,-91.07728621933025,1204,3537,4284,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970344,1617.24,0,0,41.29390657638912,-72.96468721299279,9,4,-182.61574782714845,-180.39844445800782,0,-0.05212527513504028,0.07069297134876251,-0.9928153157234192,0.9966929274561013,0.009643543511629105,-0.007996664382517338,0.00886499509215355,0.015347074988127598,-0.03398633003234863,-0.024602651596069336,-0.04484481364488602,0.06141187511768266,196,498,1360,1461.5129147564862,-0.00962042436003685,0.006810643710196018,0.010449233464896679,0.01575194948628073,0.01178717237569821,0.7004163265228271,-0.0461675226688385,0.007913853041827679,-0.7121959328651428,-4.355544098929603,-3.1432770349555863,-91.07511293896461,268.9248870610354,-78.59555296389918,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744558859452155,-5.867103895623804,-90.95782725254574,-4.3550192574409206,-3.140969884209115,-91.07728621933025,1204,3537,4284,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
